EC_number	Organism_name	Protein_file	Mol_file	pH	Temperature	Km_value_with_ref
1.11.1.10	Leptoxyphium fumago	2CIW.pdb	mol_655.sdf	3	-----	[(0.0066, '101'), (0.0048, '101')]
1.11.1.10	Leptoxyphium fumago	2CIW.pdb	mol_656.sdf	3	-----	[(0.216, '101'), (0.152, '101')]
1.11.1.16	Pleurotus eryngii	3FM1.pdb	mol_659.sdf	3.5	25°C	[(0.0048, '34'), (0.0034, "{21: 'Site-directed mutagenesis of the catalytic tryptophan environment in Pleurotus eryngii versatile peroxidase,2008', 26: 'Protein radicals in fungal versatile peroxidase: catalytic tryptophan radical in both compound I and compound II and studies on W164Y, W164H, and W164S variants. J. Biol,2009'}")]
1.11.1.16	Pleurotus eryngii	3FM1.pdb	mol_573.sdf	-----	-----	[(4.13, "{21: 'Site-directed mutagenesis of the catalytic tryptophan environment in Pleurotus eryngii versatile peroxidase,2008', 26: 'Protein radicals in fungal versatile peroxidase: catalytic tryptophan radical in both compound I and compound II and studies on W164Y, W164H, and W164S variants. J. Biol,2009'}"), (2.17, '6')]
1.11.1.16	Pleurotus eryngii	3FM1.pdb	mol_573.sdf	3	25°C	[(4.13, "{21: 'Site-directed mutagenesis of the catalytic tryptophan environment in Pleurotus eryngii versatile peroxidase,2008', 26: 'Protein radicals in fungal versatile peroxidase: catalytic tryptophan radical in both compound I and compound II and studies on W164Y, W164H, and W164S variants. J. Biol,2009'}"), (4.09, '34')]
1.11.1.16	Pleurotus eryngii	3FM1.pdb	mol_415.sdf	5	25°C	[(0.078, "{26: 'Protein radicals in fungal versatile peroxidase: catalytic tryptophan radical in both compound I and compound II and studies on W164Y, W164H, and W164S variants. J. Biol,2009', 34: 'Direct over-expression, characterization and H2O2 stability study of active Pleurotus eryngii versatile peroxidase in Escherichia coli. Biotechnol,2012'}"), (0.045, "{31: 'Directed evolution of a temperature-, peroxide- and alkaline pH-tolerant versatile peroxidase. Biochem,2012', 42: 'Structural determinants of oxidative stabilization in an evolved versatile peroxidase,2014'}")]
1.11.1.19	Auricularia auricula-judae	5AG0.pdb	mol_632.sdf	3	25°C	[(0.123, '64'), (0.121, '40')]
1.11.1.5	Saccharomyces cerevisiae	2XIL.pdb	mol_689.sdf	6	25°C	[(0.71, '82'), (0.45, '82')]
1.11.1.5	Saccharomyces cerevisiae	2XIL.pdb	mol_633.sdf	6	25°C	[(57.0, '82'), (53.0, '82')]
1.13.11.11	Homo sapiens	6PYZ.pdb	mol_718.sdf	8	25°C	[(0.153, '8'), (0.135, '8')]
1.13.11.20	Rattus norvegicus	4IEU.pdb	mol_721.sdf	7.7	-----	[(0.005, '53'), (0.003, '53')]
1.13.11.20	Mus musculus	2ATF.pdb	mol_721.sdf	-----	-----	[(3.4, '28'), (2.1, '28')]
1.13.11.20	Pseudomonas aeruginosa	2Q4S.pdb	mol_725.sdf	7.5	37°C	[(13.0, "{61: 'Substrate and pH-dependent kinetic profile of 3-mercaptopropionate dioxygenase from Pseudomonas aeruginosa,2016'}"), (8.0, '62')]
1.13.11.27	Arabidopsis thaliana	7X5Y.pdb	mol_727.sdf	7	25°C	[(0.00304, '99'), (0.00187, '103')]
1.13.11.34	Homo sapiens	6N2W.pdb	mol_738.sdf	7.5	21°C	[(0.019, '120'), (0.014, '120')]
1.13.11.34	Homo sapiens	6N2W.pdb	mol_729.sdf	7.5	25°C	[(0.0285, '126'), (0.0223, '126')]
1.13.11.49	Nitrospira defluvii	3NN1.pdb	mol_758.sdf	7	30°C	[(0.069, '26'), (0.057, '19')]
1.13.11.80	Streptomyces toyocaensis	2NP9.pdb	mol_505.sdf	7.4	24°C	[(0.0026, '3'), (0.0021, '3'), (0.0017, '3')]
1.13.12.19	Pseudomonas syringae	5LUN.pdb	mol_337.sdf	8	25°C	[(0.019, '4'), (0.013, '3')]
1.13.12.5	Renilla reniformis	7OMO.pdb	mol_807.sdf	7.2	25°C	[(0.003, '56'), (0.0025, '56')]
1.13.12.7	Photinus pyralis	3RIX.pdb	mol_810.sdf	-----	-----	[(0.12, '94'), (0.1, "{94: 'Effect of charge distribution in a flexible loop on the bioluminescence color of firefly luciferases,2009', 108: 'Improvement of thermostability and activity of firefly luciferase through [TMG][Ac] ionic liquid mediator. Appl. Biochem,2012', 111: 'Relationship between stability and flexibility in the most flexible region of Photinus pyralis luciferase. Biochim. Biophys,2012', 114: 'Delicate balance of electrostatic interactions and disulfide bridges in thermostability of firefly luciferase. Int. J. Biol,2012', 129: 'Histidine substitution in the most flexible fragments of firefly luciferase modifies its thermal stability. Arch. Biochem,2017'}"), (0.11, "{17: 'Two kinetically distinguishable ATP sites in firefly luciferase. Biochem. Biophys. Res,1984', 25: 'Immobilization of firefly luciferase on glass rods: properties of the immobilized enzyme. Anal,1977', 94: 'Effect of charge distribution in a flexible loop on the bioluminescence color of firefly luciferases,2009'}"), (0.105, "{94: 'Effect of charge distribution in a flexible loop on the bioluminescence color of firefly luciferases,2009'}")]
1.13.12.7	Lampyris turkestanicus	3QYA.pdb	mol_812.sdf	-----	-----	[(0.023, "{92: 'Site-directed mutagenesis of firefly luciferase: implication of conserved residue(s) in bioluminescence emission spectra among firefly luciferases. Biochem,2008', 106: 'The effective role of positive charge saturation in bioluminescence color and thermostability of firefly luciferase. Photochem. Photobiol,2009'}"), (0.01612, '92')]
1.13.99.1	Homo sapiens	2IBN.pdb	mol_151.sdf	-----	-----	[(5.8, '12'), (3.5, '12')]
1.14.11.4	Homo sapiens	6WFV.pdb	mol_689.sdf	-----	-----	[(0.35, "{18: 'Cloning and characterization of a third human lysyl hydroxylase isoform. Proc. Natl. Acad. Sci,1998', 19: 'Characterization of three fragments that constitute the monomers of the human lysyl hydroxylase isoenzymes 1-3: The 30-kDa N-terminal fragment is not required for lysyl hydroxylase activity. J. Biol,2002'}"), (0.3, '18')]
1.14.11.4	Homo sapiens	6WFV.pdb	mol_848.sdf	-----	-----	[(0.6, '18'), (0.5, '18')]
1.14.11.55	Virgibacillus salexigens	3EMR.pdb	mol_861.sdf	7.5	32°C	[(5.9, "{7: 'Molecular dynamics simulations and structure-guided mutagenesis provide insight into the architecture of the catalytic core of the ectoine hydroxylase. J. Mol,2014', 9: 'Biochemical properties of ectoine hydroxylases from extremophiles and their wider taxonomic distribution among microorganisms,2014'}"), (3.5, '4')]
1.14.11.55	Virgibacillus salexigens	3EMR.pdb	mol_337.sdf	7.5	32°C	[(5.2, '4'), (4.9, '9')]
1.14.13.195	Aspergillus fumigatus	4B63.pdb	mol_803.sdf	7.5	25°C	[(1.1, '15'), (1.0, '15')]
1.14.13.242	Mesorhizobium loti	3ALJ.pdb	mol_938.sdf	8	25°C	[(0.06, '13'), (0.0589, '15')]
1.14.13.242	Mesorhizobium loti	3ALJ.pdb	mol_35.sdf	8	25°C	[(0.1, '13'), (0.0779, '15')]
1.14.13.9	Homo sapiens	5X68.pdb	mol_93.sdf	7	37°C	[(0.0087, '53'), (0.0068, '53')]
1.14.13.9	Homo sapiens	5X68.pdb	mol_942.sdf	7	37°C	[(0.153, '53'), (0.1486, '53')]
1.14.14.1	Homo sapiens	2HI4.pdb	mol_945.sdf	-----	-----	[(0.0022, '57'), (0.0016, '57')]
1.14.14.154	Saccharomyces cerevisiae	4LXJ.pdb	mol_952.sdf	-----	-----	[(0.005, '3,54'), (0.004, '54'), (0.0044, '54')]
1.14.14.25	Homo sapiens	7N6F.pdb	mol_967.sdf	-----	-----	[(0.0049, '18'), (0.0033, '18')]
1.14.14.25	Homo sapiens	7N6F.pdb	mol_567.sdf	-----	-----	[(0.0077, '18'), (0.0054, '18')]
1.14.14.9	Acinetobacter baumannii	2JBT.pdb	mol_977.sdf	7.5	-----	[(26.0, '18'), (16.0, '18'), (25.0, '18'), (15.0, '18')]
1.14.14.9	Acinetobacter baumannii	2JBT.pdb	mol_35.sdf	7.5	-----	[(28.0, '18'), (22.0, '18'), (21.0, '18')]
1.14.16.1	Homo sapiens	1DMW.pdb	mol_1016.sdf	-----	-----	[(51.6, '90'), (44.63, '90')]
1.14.16.1	Homo sapiens	1DMW.pdb	mol_1017.sdf	-----	-----	[(63.8, '90'), (57.15, '90')]
1.14.16.1	Homo sapiens	1DMW.pdb	mol_1018.sdf	-----	-----	[(68.25, '90'), (60.54, '90')]
1.16.1.8	Homo sapiens	2QTL.pdb	mol_162.sdf	-----	-----	[(0.018, '3'), (0.0177, '3')]
1.16.1.8	Homo sapiens	2QTL.pdb	mol_1128.sdf	-----	-----	[(0.018, '3'), (0.0177, '3')]
1.16.1.8	Homo sapiens	2QTL.pdb	mol_598.sdf	-----	-----	[(0.0038, '3'), (0.0023, '3')]
1.16.1.8	Homo sapiens	2QTL.pdb	mol_170.sdf	-----	-----	[(0.0366, '3'), (0.0286, '3')]
1.16.1.8	Homo sapiens	2QTL.pdb	mol_507.sdf	-----	-----	[(0.774, '3'), (0.663, '3')]
1.18.1.2	Bacillus subtilis	3LZW.pdb	mol_93.sdf	7	25°C	[(0.02, "{132: 'Subcellular localization of ferredoxin-NADP+ oxidoreductase in phycobilisome retaining oxygenic photosysnthetic organisms. Photosynth,2008', 164: 'The C-terminal extension of bacterial flavodoxin-reductases: involvement in the hydride transfer mechanism from the coenzyme. Biochim. Biophys,2014', 197: 'Role of the C-terminal extension stacked on the re-face of the isoalloxazine ring moiety of the flavin adenine dinucleotide prosthetic group in ferredoxin-NADP+ oxidoreductase from Bacillus subtilis. Plant Physiol,2014'}"), (0.0197, '174')]
1.2.1.12	Geobacillus stearothermophilus	3CMC.pdb	mol_1162.sdf	-----	-----	[(1.1, '86'), (0.8, "{49: 'Effects of NAD+ binding on the luminescence of tryptophans 84 and 310 of glyceraldehyde-3-phosphate dehydrogenase from Bacillus stearothermophilus,1996', 86: 'Dimers generated from tetrameric phosphorylating glyceraldehyde-3-phosphate dehydrogenase from Bacillus stearothermophilus are inactive but exhibit cooperativity in NAD binding,1999'}")]
1.2.1.12	Trypanosoma cruzi	3DMT.pdb	mol_1162.sdf	7.5	25°C	[(0.5, "{216: 'Structural insights into the molecular basis responsible for the effects of immobilization on the kinetic parameters of glyceraldehyde-3-phosphate dehydrogenase from Trypanosoma cruzi and human. J. Braz. Chem,2010'}"), (0.42, "{32: 'Engineered glycolytic glyceraldehyde-3-phosphate dehydrogenase binds the anti conformation of NAD+ nicotinamide but does not experience A-specific hydride transfer. Arch. Biochem,1999', 216: 'Structural insights into the molecular basis responsible for the effects of immobilization on the kinetic parameters of glyceraldehyde-3-phosphate dehydrogenase from Trypanosoma cruzi and human. J. Braz. Chem,2010', 224: 'On the role of GAPDH isoenzymes during pentose fermentation in engineered Saccharomyces cerevisiae,2014'}")]
1.2.1.19	Pisum sativum	3IWK.pdb	mol_1180.sdf	9	30°C	[(0.638, '28'), (0.366, '28')]
1.2.1.88	Escherichia coli	7MWU.pdb	mol_11.sdf	7.5	21°C	[(0.0235, '41'), (0.022, '41')]
1.2.1.90	Thermoproteus tenax	1UXT.pdb	mol_11.sdf	7	70°C	[(3.3, '3'), (3.1, "{2: 'Role of two different glyceraldehyde-3-phosphate dehydrogenases in controlling the reversible Embden-Meyerhof-Parnas pathway in Thermoproteus tenax: regulation on protein and transcript level,2001', 3: 'NAD+-dependent glyceraldehyde-3-phosphate dehydrogenase from Thermoproteus tenax. The first identified archaeal member of the aldehyde dehydrogenase superfamily is a glycolytic enzyme with unusual regulatory properties. J. Biol,1998'}")]
1.2.3.1	Mus musculus	3ZYV.pdb	mol_1248.sdf	8	37°C	[(0.0021, '150'), (0.0014, "{123: 'The first mammalian aldehyde oxidase crystal structure: insights into substrate specificity. J. Biol,2012', 134: 'Identification of crucial amino acids in mouse aldehyde oxidase 3 that determine substrate specificity,2013'}")]
1.20.4.4	Bacillus subtilis	1RXE.pdb	mol_1285.sdf	-----	-----	[(0.064, '7'), (0.054, '7'), (0.058, '7')]
1.3.1.118	Mycobacterium tuberculosis	4TRO.pdb	mol_35.sdf	6.8	25°C	[(0.0081, '2'), (0.0045, '2'), (0.0058, '2'), (0.0076, '2')]
1.3.99.32	Desulfococcus multivorans	3MPI.pdb	mol_1377.sdf	7.8	30°C	[(0.053, '1'), (0.052, '2')]
1.3.99.33	Shewanella oneidensis	6T88.pdb	mol_1378.sdf	7	22°C	[(0.43, '2'), (0.22, '2')]
1.4.1.13	Azospirillum brasilense	6S6U.pdb	mol_93.sdf	7.5	25°C	[(0.245, '42'), (0.175, '42')]
1.4.1.16	Symbiobacterium thermophilum	3WBF.pdb	mol_293.sdf	-----	-----	[(16.31, "{31: 'A newly determined member of the meso-diaminopimelate dehydrogenase family with a broad substrate spectrum. Appl. Environ,2017', 39: 'Essential role of amino acid position 71 in substrate preference by meso-diaminopimelate dehydrogenase from Symbiobacterium thermophilum IAM14863. Enzyme Microb,2018'}"), (8.86, '40')]
1.4.1.16	Symbiobacterium thermophilum	3WBF.pdb	mol_1400.sdf	-----	-----	[(0.41, "{31: 'A newly determined member of the meso-diaminopimelate dehydrogenase family with a broad substrate spectrum. Appl. Environ,2017', 39: 'Essential role of amino acid position 71 in substrate preference by meso-diaminopimelate dehydrogenase from Symbiobacterium thermophilum IAM14863. Enzyme Microb,2018'}"), (0.27, "{40: 'Insight into the highly conserved and differentiated cofactor-binding sites of meso-diaminopimelate dehydrogenase StDAPDH. J. Chem. Inf,2019'}")]
1.4.1.28	Cystobacter fuscus	6IAU.pdb	mol_13.sdf	9.5	23°C	[(2.5, '6'), (2.47, '4')]
1.4.1.28	Cystobacter fuscus	6IAU.pdb	mol_1412.sdf	9.5	23°C	[(98.94, '4'), (98.9, '6')]
1.4.1.4	Aspergillus niger	5XWC.pdb	mol_79.sdf	9.3	-----	[(0.028, "{63: 'Heterologous expression of cDNAs encoding Chlorella sorokiniana NADP-specific glutamate dehydrogenase wild-type and mutant subunits in Escherichia coli cells and comparison of kinetic and thermal stability properties of their homohexamers. Plant Mol,2003', 115: 'Mixed disulfide formation at Cys141 leads to apparent unidirectional attenuation of Aspergillus niger NADP-glutamate dehydrogenase activity,2014'}"), (0.022, '115'), (0.017, "{69: 'Allosteric NADP-glutamate dehydrogenase from aspergilli: purification, characterization and implications for metabolic regulation at the carbon-nitrogen interface,2005', 82: 'Aspergillus terreus NADP-glutamate dehydrogenase is kinetically distinct from the allosteric enzyme of other Aspergilli. Mycol,2009', 115: 'Mixed disulfide formation at Cys141 leads to apparent unidirectional attenuation of Aspergillus niger NADP-glutamate dehydrogenase activity,2014'}")]
1.4.1.4	Aspergillus niger	5XWC.pdb	mol_1407.sdf	9.3	-----	[(49.8, '115'), (30.9, '115'), (34.6, "{82: 'Aspergillus terreus NADP-glutamate dehydrogenase is kinetically distinct from the allosteric enzyme of other Aspergilli. Mycol,2009', 115: 'Mixed disulfide formation at Cys141 leads to apparent unidirectional attenuation of Aspergillus niger NADP-glutamate dehydrogenase activity,2014'}")]
1.4.3.19	Bacillus subtilis	1RYI.pdb	mol_1429.sdf	8.5	37°C	[(0.99, "{26: 'Improving glyphosate oxidation activity of glycine oxidase from Bacillus cereus by directed evolution,2013', 27: 'Development of a rapid and simple glycine analysis method using a stable glycine oxidase mutant. Anal,2019'}"), (0.6, "{7: 'Glycine oxidase from Bacillus subtilis: role of histidine 244 and methionine 261,2007', 9: 'Implication of a mutation in the flavin binding site on the specific activity and substrate specificity of glycine oxidase from Bacillus subtilis produced by directed evolution. J,2008'}")]
1.4.3.20	Marinomonas mediterranea	3WEU.pdb	mol_802.sdf	7.5	25°C	[(0.0039, '9'), (0.0032, '12')]
1.4.3.21	Homo sapiens	2C10.pdb	mol_1444.sdf	7.4	37°C	[(0.652, '82'), (0.331, '72')]
1.4.3.3	Rhodotorula toruloides	1C0P.pdb	mol_1437.sdf	value	25°C	[(1.0, "{29: 'Effects of hydrogen bond in association with flavin and substrate in flavoenzyme D-amino acid oxidase. The catalytic and structural roles of gly313 and thr317. J,2002', 34: 'Design and properties of human D-amino acid oxidase with covalently attached flavin. Proc. Natl. Acad. Sci,2000', 92: 'Physiological functions of D-amino acid oxidases: from yeast to humans. Cell. Mol,2007', 116: 'Stabilization of D-amino acid oxidase from Rhodosporidium toruloides by immobilization onto magnetic nanoparticles. Biotechnol,2009'}"), (0.8, '86')]
1.4.3.3	Rhodotorula toruloides	1C0P.pdb	mol_505.sdf	8.5	15°C	[(5.0, '119'), (3.0, '141')]
1.4.3.3	Rhodotorula toruloides	1C0P.pdb	mol_1437.sdf	8	25°C	[(2.0, "{90: 'Subunit fusion of two yeast D-amino acid oxidases enhances their thermostability and resistance to H2O2. Biotechnol,2008', 91: 'Stabilization of native and double D-amino acid oxidases from Rhodosporidium toruloides and Trigonopsis variabilis by immobilization on streptavidin-coated magnetic beads. Biotechnol,2008', 94: 'Engineering the properties of D-amino acid oxidases by a rational and a directed evolution approach. Curr. Protein Pept,2007', 185: 'Substitution of arginine 120 in human D-amino acid oxidase favors FAD-binding and nuclear mistargeting. Front. Mol,2019'}"), (1.6, "{66: 'Tryptophan 243 affects interprotein contacts, cofactor binding and stability in D-amino acid oxidase from Rhodotorula gracilis,2006', 100: 'Properties of Rhodotorula gracilis D-amino acid oxidase immobilized on magnetic beads through His-tag. J. Biosci,2008'}"), (1.3, "{86: 'Investigating the role of active site residues of Rhodotorula gracilis D-amino acid oxidase on its substrate specificity,2007', 92: 'Physiological functions of D-amino acid oxidases: from yeast to humans. Cell. Mol,2007', 147: 'Structure-function relationships in human D-amino acid oxidase,2012', 183: 'Assays of D-amino acid oxidase activity. Front. Mol,2017', 185: 'Substitution of arginine 120 in human D-amino acid oxidase favors FAD-binding and nuclear mistargeting. Front. Mol,2019'}")]
1.4.3.5	Homo sapiens	1NRG.pdb	mol_1508.sdf	7.6	37°C	[(0.0028, '66'), (0.0026, '{40: "Active site structure and stereospecificity of Escherichia coli pyridoxine-5\'-phosphate oxidase. J. Mol,2002", 63: \'Identification and characterization of the pyridoxal 5-phosphate allosteric site in Escherichia coli pyridoxine 5-phosphate oxidase. J. Biol,2021\', 66: \'Molecular characterization of pyridoxine 5-phosphate oxidase and its pathogenic forms associated with neonatal epileptic encephalopathy. Sci,2020\'}')]
1.4.99.6	Pseudomonas aeruginosa	3NYC.pdb	mol_1419.sdf	8.7	25°C	[(11.0, '11,19'), (8.8, '12')]
1.5.1.2	Homo sapiens	5UAV.pdb	mol_93.sdf	7.5	37°C	[(0.283, '67'), (0.22, '72'), (0.216, '72')]
1.5.1.20	Homo sapiens	6FCX.pdb	mol_93.sdf	6.6	46°C	[(0.0355, '182'), (0.0235, '182')]
1.5.1.20	Homo sapiens	6FCX.pdb	mol_1515.sdf	6.6	46°C	[(0.0255, '182'), (0.0224, '182')]
1.5.1.3	Homo sapiens	1KMV.pdb	mol_93.sdf	7.4	37°C	[(0.0045, "{155: 'The role of tryptophan-48 in catalysis and binding of inhibitors of Plasmodium falciparum dihydrofolate reductase. Int. J,2007', 252: 'Kinetic and structural analysis for potent antifolate inhibition of Pneumocystis jirovecii, Pneumocystis carinii, and human dihydrofolate reductases and their active-site variants. Antimicrob,2013'}"), (0.004, "{89: 'Purification and characterization of recombinant Thermotoga maritima dihydrofolate reductase. Eur. J,1998', 203: 'Correlations of inhibitor kinetics for Pneumocystis jirovecii and human dihydrofolate reductase with structural data for human active site mutant enzyme complexes (dagger) (double dagger),2009', 206: 'Design, synthesis, and X-ray crystal structures of 2,4-diaminofuro[2,3-d]pyrimidines as multireceptor tyrosine kinase and dihydrofolate reductase inhibitors. Bioorg. Med,2009'}")]
1.5.1.3	Pneumocystis carinii	3NZB.pdb	mol_1517.sdf	7.4	37°C	[(0.0049, "{124: 'A simple dual selection for functionally active mutants of Plasmodium falciparum dihydrofolate reductase with improved solubility. Protein Eng. Des,2005', 203: 'Correlations of inhibitor kinetics for Pneumocystis jirovecii and human dihydrofolate reductase with structural data for human active site mutant enzyme complexes (dagger) (double dagger),2009'}"), (0.0035, "{252: 'Kinetic and structural analysis for potent antifolate inhibition of Pneumocystis jirovecii, Pneumocystis carinii, and human dihydrofolate reductases and their active-site variants. Antimicrob,2013'}")]
1.5.1.6	Danio rerio	4QPD.pdb	mol_1530.sdf	-----	30°C	[(0.0156, '34'), (0.0127, '34')]
1.5.3.14	Zea mays	1B5Q.pdb	mol_1423.sdf	6	25°C	[(0.0021, '5'), (0.0017, '5')]
1.5.3.14	Zea mays	1B5Q.pdb	mol_1428.sdf	6	25°C	[(0.0017, '5'), (0.0016, "{5: 'Lys300 plays a major role in the catalytic mechanism of maize polyamine oxidase,2005', 16: 'Functional diversity inside the Arabidopsis polyamine oxidase gene family. J. Exp,2011'}")]
1.7.1.17	Enterococcus faecalis	2HPV.pdb	mol_35.sdf	7.1	23°C	[(0.158, '16'), (0.14, '17')]
1.7.1.17	Enterococcus faecalis	2HPV.pdb	mol_1587.sdf	7.1	23°C	[(0.0254, '16'), (0.024, "{10: 'Mutation network-based understanding of pleiotropic and epistatic mutational behavior of Enterococcus faecalis FMN-dependent azoreductase. Biochem. Biophys,2017', 17: 'Molecular cloning, overexpression, purification, and characterization of an aerobic FMN-dependent azoreductase from Enterococcus faecalis. Protein Expr,2004'}")]
1.7.3.3	Metabacillus fastidiosus	3PLG.pdb	mol_905.sdf	9.2	25°C	[(0.27, "{102: 'Effects of modification of amino groups with poly(ethylene glycol) on a recombinant uricase from Bacillus fastidiosus. Biosci. Biotechnol,2010', 113: 'A practical system for high-throughput screening of mutants of Bacillus fastidiosus uricase. Appl. Biochem,2017'}"), (0.267, '143')]
1.8.4.11	Treponema denticola	5FA9.pdb	mol_1653.sdf	7.5	37°C	[(0.3, "{111: 'Essential role of the linker region in the higher catalytic efficiency of a bifunctional MsrA-MsrB fusion protein,2016'}"), (0.18, '111')]
1.8.5.1	Homo sapiens	3LFL.pdb	mol_695.sdf	-----	-----	[(11.8, '29'), (11.4, '29')]
1.8.5.1	Homo sapiens	3QAG.pdb	mol_1660.sdf	6.9	30°C	[(0.53, '52'), (0.43, '52'), (0.52, '52'), (0.51, "{20: 'The catalytic mechanism of the glutathione-dependent dehydroascorbate reductase activity of thioltransferase (glutaredoxin),1999', 52: 'Structural insights into the dehydroascorbate reductase activity of human omega-class glutathione transferases. J. Mol,2012'}")]
1.8.5.1	Homo sapiens	3QAG.pdb	mol_695.sdf	6.9	30°C	[(7.8, '52'), (4.18, '52'), (5.97, '52'), (4.82, '52')]
1.8.5.4	Homo sapiens	6OIB.pdb	mol_1664.sdf	8	25°C	[(0.019, '35'), (0.014, '35')]
1.8.5.4	Homo sapiens	6OIB.pdb	mol_1663.sdf	6.8	25°C	[(0.35, '34'), (0.23, "{9: 'Sulfide:quinone oxidoreductase (SOR) from the lugworm Arenicola marina shows cyanide- and thioredoxin-dependent activity,2008', 34: 'H2S oxidation by nanodisc-embedded human sulfide quinone oxidoreductase. J. Biol,2017'}")]
2.1.1.103	Arabidopsis thaliana	5WP5.pdb	mol_622.sdf	8	-----	[(0.308, '36'), (0.212, '36')]
2.1.1.146	Clarkia breweri	5CVV.pdb	mol_622.sdf	-----	-----	[(0.027, '1'), (0.019, '1')]
2.1.1.146	Clarkia breweri	5CVV.pdb	mol_1696.sdf	-----	-----	[(0.074, '1'), (0.058, '1')]
2.1.1.235	Streptomyces fradiae	3PFG.pdb	mol_622.sdf	7.5	24°C	[(0.117, '1'), (0.0989, '1')]
2.1.1.235	Streptomyces fradiae	3PFG.pdb	mol_1744.sdf	7.5	24°C	[(0.1184, '1'), (0.0594, '1')]
2.1.1.28	Homo sapiens	2G72.pdb	mol_1758.sdf	-----	-----	[(0.1, "{41: 'Structural, mutagenic, and kinetic analysis of the binding of substrates and inhibitors of human phenylethanolamine N-methyltransferase. J. Med,2005', 54: 'Kinetic and pH studies on human phenylethanolamine N-methyltransferase. Arch. Biochem,2013'}"), (0.07, '32')]
2.1.1.357	Homo sapiens	6WZW.pdb	mol_622.sdf	9	23°C	[(0.0038, '1'), (0.0028, '1')]
2.1.1.359	Homo sapiens	5LT7.pdb	mol_622.sdf	9	23°C	[(0.0055, '7'), (0.004, '7'), (0.0033, '7')]
2.1.1.45	Homo sapiens	6QYQ.pdb	mol_1698.sdf	7.5	22°C	[(0.0042, '158'), (0.0025, '158')]
2.1.1.45	Escherichia coli	3BHL.pdb	mol_1819.sdf	-----	-----	[(0.0085, '72'), (0.0081, '72')]
2.1.1.5	Homo sapiens	4M3P.pdb	mol_1821.sdf	7.5	37°C	[(0.075, '64'), (0.059, '64')]
2.1.1.79	Lactobacillus acidophilus	5Z9O.pdb	mol_622.sdf	8	37°C	[(0.113, '38'), (0.092, '38')]
2.1.2.1	Homo sapiens	6M5W.pdb	mol_106.sdf	7	25°C	[(0.18, "{80: 'Serine hydroxymethyltransferase from Plasmodium vivax is different in substrate specificity from its homologues,2009', 105: 'Distinct biochemical properties of human serine hydroxymethyltransferase compared with the Plasmodium enzyme: implications for selective inhibition,2014', 117: 'Human and Plasmodium serine hydroxymethyltransferases differ in rate-limiting steps and pH-dependent substrate inhibition behavior. Arch. Biochem,2017'}"), (0.17, '105')]
2.1.2.1	Oryctolagus cuniculus	1LS3.pdb	mol_971.sdf	-----	-----	[(0.02, '{29: \'Purification and characterization of recombinant rabbit cytosolic serine hydroxymethyltransferase. Protein Expr,1998\', 51: \'Role of proline residues in the folding of serine hydroxymethyltransferase. J. Biol,2003\', 126: "How pyridoxal 5\'-phosphate differentially regulates human cytosolic and mitochondrial serine hydroxymethyltransferase oligomeric state,2015"}')]
2.2.1.1	Homo sapiens	4KXV.pdb	mol_1868.sdf	7.6	30°C	[(0.61, '101'), (0.48, '101')]
2.2.1.1	Homo sapiens	4KXV.pdb	mol_1869.sdf	7.6	30°C	[(0.303, '101'), (0.255, '101')]
2.2.1.1	Scheffersomyces stipitis	5XVT.pdb	mol_1869.sdf	8	25°C	[(0.183, '143'), (0.145, '143')]
2.2.1.7	Escherichia coli	2O1S.pdb	mol_293.sdf	8	37°C	[(0.123, '69'), (0.107, '69')]
2.3.1.13	Bos taurus	7PK2.pdb	mol_1429.sdf	8	30°C	[(0.002, '14'), (0.0016, '14')]
2.3.1.133	Coleus scutellarioides	5KJW.pdb	mol_1889.sdf	7	30°C	[(0.473, '19'), (0.449, '19')]
2.3.1.30	Entamoeba histolytica	7BW9.pdb	mol_106.sdf	8	-----	[(0.0673, '67'), (0.052, '67')]
2.3.1.37	Homo sapiens	5QR1.pdb	mol_1373.sdf	7.4	37°C	[(0.0407, '95'), (0.0398, '95'), (0.0401, '95'), (0.0357, '95')]
2.3.1.37	Homo sapiens	5QR1.pdb	mol_1429.sdf	7.4	37°C	[(13.5, '95'), (9.3, "{44: 'Mutations at a glycine loop in aminolevulinate synthase affect pyridoxal phosphate cofactor binding and catalysis,1996', 95: 'Molecular expression and characterization of erythroid-specific 5-aminolevulinate synthase gain-of-function mutations causing X-linked protoporphyria. Mol,2013'}"), (13.0, "{87: 'Targeting the active site gate to yield hyperactive variants of 5-aminolevulinate synthase. J. Biol,2010', 95: 'Molecular expression and characterization of erythroid-specific 5-aminolevulinate synthase gain-of-function mutations causing X-linked protoporphyria. Mol,2013'}"), (7.5, "{27: 'Purification and some properties of delta-aminolevulinate synthase from the rat liver cytosol fraction and immunochemical identity of the cytosolic enzyme and the mitochondrial enzyme. J. Biol,1980', 95: 'Molecular expression and characterization of erythroid-specific 5-aminolevulinate synthase gain-of-function mutations causing X-linked protoporphyria. Mol,2013'}")]
2.3.1.5	Homo sapiens	2PQT.pdb	mol_1125.sdf	-----	37°C	[(0.053, '161'), (0.052, '161')]
2.3.1.50	Sphingomonas paucimobilis	4BMK.pdb	mol_1910.sdf	-----	-----	[(1.2, '40'), (1.0, '40')]
